id,Latitude,Longitude,NumberOfStories,YearBuilt,OccupancyClass,StructureType,PlanArea,ReplacementCost
1,37.5629,-122.252,1,1966,RES1,W1,3826.94,395288
2,37.5689,-122.291,2,1967,RES1,W1,1303.77,348929
3,37.5689,-122.291,2,1967,RES1,W1,1248.09,348929
4,37.5688,-122.29,2,1967,RES1,W1,1255.34,622855
5,37.5688,-122.29,3,1967,RES1,W1,1290.36,173162
6,37.5687,-122.29,2,1967,RES1,W1,1382.31,281903
7,37.5687,-122.29,3,1967,RES1,W1,1191.8,368134
8,37.5686,-122.29,3,1967,RES1,W1,1363.93,368134
9,37.5686,-122.29,3,1967,RES1,W1,1183.5,368134
10,37.5685,-122.29,1,1967,RES1,W1,1328.79,76193
11,37.5689,-122.29,2,1967,RES1,W1,1964.66,378790
12,37.5689,-122.29,2,1967,RES1,W1,1987.06,164583
13,37.5689,-122.29,2,1967,RES1,W1,1794.82,468105
14,37.5689,-122.29,2,1967,RES1,W1,1773.62,468105
15,37.5688,-122.29,2,1967,RES1,W1,1308.24,353540
16,37.5689,-122.289,2,1967,RES1,W1,1961.82,76193
17,37.5689,-122.289,2,1967,RES1,W1,1996.42,375323
18,37.5688,-122.289,1,1967,RES1,W1,1412.98,355132
19,37.5688,-122.289,2,1967,RES1,W1,1229.86,379320
20,37.5688,-122.289,1,1967,RES1,W1,1441.34,177367
21,37.5688,-122.289,2,1967,RES1,W1,1042.92,77802
22,37.5669,-122.289,1,1960,RES1,W1,2058.36,63356
23,37.5639,-122.281,1,1980,COM1,S1,125225,9882498
24,37.5672,-122.288,1,1960,RES1,W1,3116.43,79100
25,37.5665,-122.287,1,1960,RES1,W1,2243.34,63356
26,37.5666,-122.287,1,1960,RES1,W1,2404.17,63356
27,37.5665,-122.288,1,1960,RES1,W1,3427.13,378679
28,37.5665,-122.288,1,1960,RES1,W1,2891.15,378679
29,37.5664,-122.288,1,1960,RES1,W1,2666.92,232448
30,37.5663,-122.288,1,1960,RES1,W1,2457.93,232448
31,37.5663,-122.287,1,1960,RES1,W1,2293.6,334503
32,37.5662,-122.287,1,1960,RES1,RM1,2692.31,66457
33,37.5626,-122.281,1,2011,COM1,RM1,7374.86,2586603
34,37.5624,-122.28,1,1998,COM1,RM1,10580.8,1240451
35,37.5674,-122.285,1,1968,RES1,W1,1652.47,197173
36,37.5675,-122.285,2,1968,RES1,W1,1427.16,538112
37,37.5687,-122.288,2,1966,RES1,W1,1132.44,563055
38,37.5688,-122.288,1,1966,RES1,W1,1187.29,250863
39,37.5689,-122.288,1,1966,RES1,W1,1338.61,250863
40,37.5686,-122.288,2,1966,RES1,W1,1152.14,620254
41,37.5686,-122.288,1,1966,RES1,W1,1135.3,233309
42,37.5686,-122.288,1,1966,RES1,W1,1338.15,529101
43,37.5686,-122.288,3,1966,RES1,W1,822.776,329125
44,37.5686,-122.288,2,1966,RES1,W1,1102.13,76427
45,37.5672,-122.288,1,1960,RES1,W1,3183.71,84897
46,37.5672,-122.288,1,1960,RES1,W1,2738.67,269586
47,37.5669,-122.288,1,1960,RES1,W1,2817.51,215845
48,37.5668,-122.287,1,1960,RES1,W1,2035.5,215845
49,37.5668,-122.288,1,1960,RES1,W1,2740.24,480514
50,37.5458,-122.308,1,1930,COM8,S5,1695.66,64974
51,37.5459,-122.308,1,1939,RES3,W1,614.389,434549
52,37.5457,-122.308,1,1939,RES3,W1,1713.29,434549
53,37.5459,-122.309,1,1941,RES3,W1,3130.8,62350
54,37.5458,-122.309,1,1941,RES3,MH,1662.2,62350
55,37.5457,-122.309,1,1941,RES3,W1,1282.39,62350
56,37.5447,-122.308,2,1927,RES1,W1,3478.57,453046
57,37.5448,-122.308,2,1927,RES1,W1,2362.53,453046
58,37.5451,-122.308,1,1935,RES1,W1,1699.99,460415
59,37.545,-122.308,1,1935,RES1,W1,249.783,460415
60,37.545,-122.308,1,1935,RES1,W1,1661.69,460415
61,37.5448,-122.309,1,1949,RES3,W1,517.505,452244
62,37.545,-122.309,1,1949,RES3,W1,2182.71,452244
63,37.5448,-122.309,1,1947,RES3,W1,3501.42,282756
64,37.5448,-122.309,1,1929,RES1,W1,2436.3,685544
65,37.5448,-122.309,1,1936,RES1,W1,2513.6,385180
66,37.5448,-122.31,1,1980,RES1,W1,2259.29,278250
67,37.5446,-122.309,1,1930,RES1,W1,768.892,278250
68,37.5447,-122.31,2,1932,RES1,W1,2194.04,134985
69,37.5445,-122.31,2,1932,RES1,W1,1944.73,134985
70,37.5455,-122.31,1,1937,RES3,W1,3176.61,520613
71,37.5457,-122.31,1,1937,RES3,W1,1255.88,520613
72,37.5455,-122.31,1,1937,RES3,W1,2126.29,520613
73,37.5463,-122.309,2,1950,RES3,W1,1881.72,361815
74,37.5464,-122.309,2,1950,RES3,W1,685.858,361815
75,37.5462,-122.309,2,1950,RES3,W1,3120.07,337222
76,37.5464,-122.309,2,1962,RES3,C2,12058.9,5324986
77,37.546,-122.31,1,1950,RES3,W1,2551.45,330088
78,37.5461,-122.31,1,1955,RES3,S3,2737.37,377084
79,37.5463,-122.311,1,1955,RES3,W1,2885.11,377084
80,37.5462,-122.31,1,1954,RES3,W1,2468.01,314853
81,37.5471,-122.309,2,1930,COM8,S1,15704.8,125357
82,37.5476,-122.31,1,1930,COM8,W2,11082,125357
83,37.5466,-122.31,1,1940,RES1,W1,2348.96,316666
84,37.5466,-122.31,3,1972,RES3,W1,2889.42,3250000
85,37.5466,-122.31,3,1972,RES3,PC2,5465.07,3250000
86,37.5468,-122.31,3,1972,RES3,C2,1546.73,3250000
87,37.5468,-122.31,2,1993,RES3,W1,4152.01,6461188
88,37.5477,-122.31,2,1993,RES3,W1,4780.06,6461188
89,37.5475,-122.31,2,1993,RES3,W1,13388.3,6461188
90,37.5473,-122.31,2,1993,RES3,W1,8569.88,6461188
91,37.548,-122.31,2,1993,RES3,W1,2875.22,6461188
92,37.5472,-122.311,1,1948,RES3,W1,606.419,462165
93,37.5473,-122.311,1,1948,RES3,W1,2634.82,462165
94,37.5471,-122.311,1,1948,RES3,W1,623.958,134574
95,37.5472,-122.311,1,1948,RES3,W1,2745.13,134574
96,37.5471,-122.311,1,1948,RES3,W1,3129.06,134574
97,37.5476,-122.311,2,1951,RES3,W1,4981.89,582696
98,37.5477,-122.311,2,1951,RES3,W1,738.302,582696
99,37.5497,-122.308,2,1980,COM1,RM1,4072.97,158309
100,37.5497,-122.309,2,1928,RES1,W1,1198.97,211883
101,37.5501,-122.309,1,1927,RES1,W1,1197.44,175342
102,37.5502,-122.309,1,1955,RES3,C2,2706.13,537500
103,37.5484,-122.31,1,1980,COM1,S3,2631.59,10821
104,37.5478,-122.31,1,1980,COM4,C2,9165.17,1712855
105,37.548,-122.31,1,1980,COM4,RM1,7089.71,1712855
106,37.5487,-122.308,1,1982,RES3,MH,4919.88,298866
107,37.5485,-122.309,1,1982,RES3,W1,10489.7,298866
108,37.5484,-122.308,1,1982,RES3,W1,4718.09,298866
109,37.5488,-122.308,1,1982,RES3,W1,9279.33,298866
110,37.5487,-122.309,1,1982,RES3,W1,671.496,298866
111,37.5466,-122.308,1,1965,COM1,S3,2353.73,29432
112,37.5466,-122.309,1,1965,COM1,PC1,3978.09,29432
113,37.5465,-122.308,2,1949,COM1,W2,6975.23,436773
114,37.5484,-122.306,2,1980,COM2,PC1,7076.8,3170206
115,37.5477,-122.305,2,1980,COM2,RM1,21291.9,3170206
116,37.5481,-122.305,1,1930,COM2,W2,24594.8,3170206
117,37.5487,-122.306,1,1980,COM2,S4,36678.8,4056183
118,37.5494,-122.306,3,2014,RES3,W1,21475.9,59519031
119,37.5503,-122.306,1,1930,IND1,S1,14777.1,89916
120,37.55,-122.306,1,1980,IND1,RM1,767.372,89916
121,37.5511,-122.306,1,1930,RES3,URM,36486.4,13020000
122,37.5491,-122.302,1,1954,RES1,W1,2121.45,240016
123,37.5491,-122.302,1,1954,RES1,W1,2545.02,231183
124,37.5491,-122.302,1,1954,RES1,W1,2615.37,543763
125,37.549,-122.302,1,1954,RES1,W1,2623.31,245121
126,37.5491,-122.304,1,1954,RES1,W1,2836.6,366313
127,37.5493,-122.304,1,1954,RES1,W1,2371.44,366313
128,37.5494,-122.305,1,1955,RES3,W1,2177.96,187552
129,37.5503,-122.305,2,1965,RES3,W1,11547.2,659443
130,37.5507,-122.304,2,1965,RES3,W1,1825.64,659443
131,37.5507,-122.305,2,1965,RES3,S1,7303.28,659443
132,37.5503,-122.304,2,1965,RES3,W1,2677.08,1115550
133,37.551,-122.305,3,1959,RES3,W1,10119.1,916322
134,37.5508,-122.302,1,1954,RES1,W1,3034.15,409851
135,37.5509,-122.302,1,1954,RES1,W1,2788.92,247201
136,37.5518,-122.303,3,1976,RES3,W1,8868.91,922578
137,37.5519,-122.303,3,1976,RES3,RM1,1851.9,922578
138,37.5518,-122.303,2,1958,RES3,S3,4117.14,644683
139,37.5518,-122.304,2,1958,RES3,W1,4093.42,328856
140,37.5518,-122.304,2,1958,RES3,W1,3918.58,328856
141,37.5531,-122.31,2,1980,IND2,C2,5260.24,50908
142,37.5527,-122.311,1,1952,RES3,W1,455.779,120035
143,37.5527,-122.311,1,1952,RES3,W1,873.847,120035
144,37.5528,-122.311,1,1952,RES3,RM1,1409.37,120035
145,37.545,-122.307,1,1980,COM1,W2,1839.37,203914
146,37.5449,-122.307,1,1960,COM1,RM2,2347.58,203914
147,37.545,-122.307,1,1930,COM1,URM,1719.65,203914
148,37.5451,-122.307,1,1930,COM8,C2,4021.35,150532
149,37.5452,-122.307,1,1948,COM1,W2,2105.29,110955
150,37.5453,-122.307,1,1960,COM3,PC1,1044.17,97963
151,37.5454,-122.307,2,1980,COM3,PC1,3254.12,97963
152,37.5449,-122.307,3,1966,RES3,RM1,7229.75,361444
153,37.545,-122.307,2,1954,RES3,W1,3440.11,1877521
154,37.5452,-122.308,2,1954,RES3,W1,10167.9,1877521
155,37.5458,-122.307,1,1960,COM4,W2,500.771,37500
156,37.5462,-122.308,1,1930,COM1,RM1,5293.24,17156
157,37.5461,-122.308,1,1960,COM1,C2,1716.68,17156
158,37.546,-122.308,1,1930,COM1,W2,3222.61,17156
159,37.5236,-122.301,2,1971,RES1,W1,1358.76,639607
160,37.5535,-122.316,2,1952,RES3,W1,1738.03,78510
161,37.5539,-122.316,1,1980,COM8,C2,4704.97,767854
162,37.5538,-122.316,1,1930,COM8,C2,4289.74,767854
163,37.5538,-122.317,1,1980,COM8,S2,2712.08,767854
164,37.5542,-122.321,1,1954,RES3,MH,4640.13,106855
165,37.5541,-122.321,1,1954,RES3,W1,4620.07,106855
166,37.5545,-122.321,1,1969,RES3,W1,4421.19,520573
167,37.5546,-122.321,1,1962,RES3,W1,4252.69,862962
168,37.5557,-122.319,2,1959,RES3,W1,3890.26,159236
169,37.5559,-122.319,2,1959,RES3,W1,1422.34,159236
170,37.5555,-122.32,2,1960,RES3,W1,6029.26,709440
171,37.5561,-122.32,1,1937,RES1,W1,2319.5,264309
172,37.5561,-122.32,1,1937,RES1,W1,2428.38,264309
173,37.5559,-122.319,2,1959,RES3,W1,6752.65,1431502
174,37.556,-122.319,1,1980,COM4,W2,5767.35,116713
175,37.5565,-122.319,1,1980,COM4,RM1,2225.25,116713
176,37.5564,-122.319,1,1960,COM4,W2,2887.47,116713
177,37.5561,-122.319,1,1930,COM3,S5,5527.81,75030
178,37.5562,-122.319,1,1980,COM3,C2,1712.14,75030
179,37.5563,-122.319,1,1960,COM4,C2,2595.46,193484
180,37.5562,-122.322,2,1936,RES1,W1,1750.15,771256
181,37.5563,-122.321,1,1934,RES1,W1,2312.74,662323
182,37.5575,-122.319,1,1918,RES1,W1,1988.21,407932
183,37.5576,-122.319,1,1914,RES1,W1,2153.45,108166
184,37.5577,-122.319,1,1914,RES1,W1,1972.69,108166
185,37.5583,-122.317,2,1922,RES1,W1,2044.07,241241
186,37.5582,-122.317,1,1925,RES1,W1,1516.48,660420
187,37.5586,-122.317,1,1925,RES1,W1,2006.82,354252
188,37.5584,-122.317,1,1925,RES1,W1,975.457,354252
189,37.5583,-122.318,1,1925,RES1,W1,2608.07,354252
190,37.5586,-122.317,2,1922,RES1,W1,1746.22,163917
191,37.5587,-122.316,1,1912,RES1,W1,1701.82,128391
192,37.5587,-122.316,1,1910,RES1,W1,2309.59,657564
193,37.5589,-122.316,1,1922,RES1,W1,1769.68,237679
194,37.5588,-122.316,1,1914,RES1,W1,2002.08,692908
195,37.562,-122.32,1,1981,RES3,W1,10182.5,239817
196,37.5617,-122.319,1,2006,RES3,W1,29857.5,657374
197,37.5616,-122.319,1,2006,RES3,W1,1730.39,657374
198,37.5236,-122.312,1,1964,RES1,W1,2996.87,246391
199,37.5601,-122.311,1,1946,RES1,W1,2031.07,55337
200,37.558,-122.311,1,1947,RES1,W1,2433.67,73789
201,37.5579,-122.311,1,1947,RES1,W1,2182.39,73789
202,37.5596,-122.313,1,1949,RES1,W1,1482.39,111047
203,37.5595,-122.314,1,1949,RES1,W1,4426.1,111047
204,37.5595,-122.314,1,1949,RES1,W1,1710.62,111047
205,37.5597,-122.314,1,1949,RES1,W1,2427.14,111047
206,37.5597,-122.314,2,1949,RES1,W1,9511.83,250196
207,37.56,-122.314,1,1949,RES1,W1,1775.36,250196
208,37.5599,-122.314,1,1949,RES1,W1,1721.42,250196
209,37.5579,-122.313,1,1938,RES1,W1,1626.89,390087
210,37.5578,-122.313,1,1938,RES1,W1,3355.06,390087
211,37.558,-122.314,2,1930,RES3,W1,2339.82,954935
212,37.5573,-122.314,1,1921,RES1,W1,2008.79,362904
213,37.557,-122.315,1,1922,RES1,W1,1946.26,206366
214,37.557,-122.315,1,1922,RES1,W1,2107.45,206366
215,37.5563,-122.315,1,1922,RES1,W1,1801.32,65709
216,37.5563,-122.315,1,1922,RES1,W1,1934.21,65709
217,37.5559,-122.315,1,1926,RES1,W1,1738.16,383734
218,37.5556,-122.315,1,1926,RES1,W1,1973.91,383734
219,37.5556,-122.314,1,1902,RES1,W1,1994.34,524052
220,37.5573,-122.313,1,1960,RES3,W1,3360.71,61340
221,37.5571,-122.313,1,1980,RES3,MH,1731.39,61340
222,37.5564,-122.312,1,1980,RES1,W1,2496.41,95642
223,37.5561,-122.312,1,1955,COM1,W2,3831.27,386215
224,37.5561,-122.312,1,1930,RES1,W1,1528.39,360611
225,37.5557,-122.311,2,1930,COM1,C2,1237.45,133145
226,37.5558,-122.311,2,1980,COM1,W2,1187.36,133145
227,37.5556,-122.311,1,1980,IND2,PC1,2129.75,87499
228,37.5553,-122.311,1,1960,RES3,S3,1055.74,69306
229,37.556,-122.313,1,1912,RES1,W1,2354.49,357788
