id,Latitude,Longitude,NumberOfStories,YearBuilt,OccupancyClass,PlanArea,StructureType,Footprint
1,61.21700019,-149.9083196,2,1983,RES1,3059,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-149.908450,61.217076],[-149.908450,61.217100],[-149.908506,61.217100],[-149.908506,61.217076],[-149.908450,61.217076]]]},""properties"":{}}"
2,61.21671905,-149.9083414,1,1947,RES1,1498,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-149.908077,61.216670],[-149.908077,61.216756],[-149.908262,61.216756],[-149.908262,61.216670],[-149.908077,61.216670]]]},""properties"":{}}"
3,61.21672429,-149.9072262,2,2000,RES3,4483,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-149.907122,61.216663],[-149.907124,61.216768],[-149.907557,61.216766],[-149.907555,61.216662],[-149.907122,61.216663]]]},""properties"":{}}"
4,61.21672429,-149.9072262,1,1948,RES3,1500,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-149.907122,61.216663],[-149.907124,61.216768],[-149.907557,61.216766],[-149.907555,61.216662],[-149.907122,61.216663]]]},""properties"":{}}"
5,61.21686798,-149.9072265,2,1961,RES3,5790,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-149.907623,61.216802],[-149.907041,61.216805],[-149.907043,61.216926],[-149.907625,61.216923],[-149.907623,61.216802]]]},""properties"":{}}"
6,61.21700429,-149.9072297,2,2018,RES3,2549,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-149.907623,61.216802],[-149.907041,61.216805],[-149.907043,61.216926],[-149.907625,61.216923],[-149.907623,61.216802]]]},""properties"":{}}"
7,61.21700429,-149.9072297,2,2018,RES3,2549,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-149.907623,61.216802],[-149.907041,61.216805],[-149.907043,61.216926],[-149.907625,61.216923],[-149.907623,61.216802]]]},""properties"":{}}"
8,61.21714012,-149.90723,1,1961,RES3,3224,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-149.907576,61.217314],[-149.907573,61.217219],[-149.907229,61.217221],[-149.907229,61.217239],[-149.907087,61.217240],[-149.907089,61.217317],[-149.907576,61.217314]]]},""properties"":{}}"
9,61.21727742,-149.9072312,1,1972,RES3,1188,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-149.907576,61.217314],[-149.907573,61.217219],[-149.907229,61.217221],[-149.907229,61.217239],[-149.907087,61.217240],[-149.907089,61.217317],[-149.907576,61.217314]]]},""properties"":{}}"
10,61.21727742,-149.9072312,1,1972,RES3,1127,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-149.907576,61.217314],[-149.907573,61.217219],[-149.907229,61.217221],[-149.907229,61.217239],[-149.907087,61.217240],[-149.907089,61.217317],[-149.907576,61.217314]]]},""properties"":{}}"
11,61.21715081,-149.9042988,1,1976,RES3,12090,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-149.904270,61.216650],[-149.904268,61.216931],[-149.904042,61.216931],[-149.904040,61.217249],[-149.904326,61.217250],[-149.904326,61.217267],[-149.904452,61.217267],[-149.904452,61.217247],[-149.904731,61.217248],[-149.904733,61.216946],[-149.904623,61.216946],[-149.904623,61.216913],[-149.904662,61.216913],[-149.904664,61.216651],[-149.904270,61.216650]]]},""properties"":{}}"
12,61.2177814,-149.9031479,2,1971,COM4,12408,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-149.903505,61.217829],[-149.903501,61.217673],[-149.903114,61.217675],[-149.903114,61.217659],[-149.902784,61.217661],[-149.902789,61.217834],[-149.903505,61.217829]]]},""properties"":{}}"
13,61.21798738,-149.9031437,2,1945,COM4,2968,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-149.903490,61.218028],[-149.903492,61.217942],[-149.903197,61.217941],[-149.903195,61.218026],[-149.903490,61.218028]]]},""properties"":{}}"
14,61.21812418,-149.9031419,1,1936,COM1,1742,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-149.903102,61.218094],[-149.903102,61.218176],[-149.903509,61.218176],[-149.903509,61.218094],[-149.903102,61.218094]]]},""properties"":{}}"
15,61.21825951,-149.9031372,2,1935,COM4,1944,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-149.903102,61.218094],[-149.903102,61.218176],[-149.903509,61.218176],[-149.903509,61.218094],[-149.903102,61.218094]]]},""properties"":{}}"
16,61.21839731,-149.9031336,2,1962,COM4,9600,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-149.902825,61.218330],[-149.902823,61.218445],[-149.903514,61.218449],[-149.903517,61.218334],[-149.902825,61.218330]]]},""properties"":{}}"
17,61.21883148,-149.9022082,2,1966,COM4,20609,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-149.902604,61.219402],[-149.902605,61.219013],[-149.902238,61.219013],[-149.902239,61.218616],[-149.901901,61.218616],[-149.901900,61.219036],[-149.902133,61.219036],[-149.902133,61.219220],[-149.901905,61.219220],[-149.901904,61.219401],[-149.902604,61.219402]]]},""properties"":{}}"
