id,Latitude,Longitude,ReplacementCost,PlanArea,YearBuilt,NumberOfStories,OccupancyClass,StructureType,Footprint
0,37.87777,-122.2788875,203133.3333,1015.666667,1911,2,RES1,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.278796,37.877744],[-122.278815,37.877821],[-122.278979,37.877796],[-122.278960,37.877719],[-122.278796,37.877744]]]},""properties"":{}}"
1,37.877574,-122.2743205,384733.3333,1923.666667,1914,1,RES1,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.274270,37.877508],[-122.274284,37.877645],[-122.274371,37.877640],[-122.274357,37.877503],[-122.274270,37.877508]]]},""properties"":{}}"
2,37.87764722,-122.2694191,382633.3333,1913.166667,1936,2,RES3,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.269349,37.877600],[-122.269375,37.877711],[-122.269489,37.877695],[-122.269463,37.877583],[-122.269349,37.877600]]]},""properties"":{}}"
3,37.8783975,-122.2707135,113200,566,1918,1,RES3,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.270668,37.878334],[-122.270668,37.878461],[-122.270759,37.878461],[-122.270759,37.878334],[-122.270668,37.878334]]]},""properties"":{}}"
4,37.87899072,-122.2774836,129600,648,1915,1,RES1,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.277574,37.879034],[-122.277553,37.878928],[-122.277393,37.878948],[-122.277414,37.879053],[-122.277574,37.879034]]]},""properties"":{}}"
5,37.87692547,-122.2568907,342900,1714.5,1908,2,RES3,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.256829,37.876989],[-122.256989,37.876946],[-122.256953,37.876862],[-122.256792,37.876905],[-122.256829,37.876989]]]},""properties"":{}}"
6,37.87818759,-122.2664788,924000,4620,1958,2,RES3,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.266269,37.878141],[-122.266271,37.878207],[-122.266322,37.878206],[-122.266322,37.878236],[-122.266683,37.878232],[-122.266681,37.878145],[-122.266443,37.878148],[-122.266442,37.878139],[-122.266269,37.878141]]]},""properties"":{}}"
7,37.87983125,-122.2608585,711400,3557,1957,2,RES3,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.260742,37.879789],[-122.260766,37.879891],[-122.260877,37.879875],[-122.260883,37.879900],[-122.260967,37.879888],[-122.260938,37.879761],[-122.260742,37.879789]]]},""properties"":{}}"
8,37.88023903,-122.2581876,173000,865,1948,1,RES1,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.258124,37.880211],[-122.258143,37.880331],[-122.258232,37.880323],[-122.258217,37.880225],[-122.258259,37.880221],[-122.258249,37.880154],[-122.258143,37.880164],[-122.258150,37.880208],[-122.258124,37.880211]]]},""properties"":{}}"
9,37.87088637,-122.2887068,208700,1043.5,1914,2,RES1,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.288774,37.870832],[-122.288670,37.870834],[-122.288671,37.870887],[-122.288612,37.870888],[-122.288613,37.870930],[-122.288776,37.870928],[-122.288774,37.870832]]]},""properties"":{}}"
10,37.8720995,-122.2807785,616900,3084.5,1929,2,RES1,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.280825,37.872201],[-122.280818,37.871996],[-122.280732,37.871998],[-122.280739,37.872203],[-122.280825,37.872201]]]},""properties"":{}}"
11,37.87455268,-122.2861933,379800,1899,1939,2,RES1,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.286212,37.874617],[-122.286206,37.874578],[-122.286304,37.874568],[-122.286292,37.874493],[-122.286099,37.874512],[-122.286117,37.874626],[-122.286212,37.874617]]]},""properties"":{}}"
12,37.8651615,-122.2880675,177600,888,1919,1,RES1,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.288013,37.865090],[-122.288032,37.865240],[-122.288122,37.865233],[-122.288103,37.865083],[-122.288013,37.865090]]]},""properties"":{}}"
13,37.86845917,-122.2730292,525600,2628,1914,2,RES3,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.272915,37.868526],[-122.273091,37.868507],[-122.273083,37.868459],[-122.273159,37.868451],[-122.273147,37.868383],[-122.273047,37.868393],[-122.273053,37.868429],[-122.272901,37.868445],[-122.272915,37.868526]]]},""properties"":{}}"
14,37.8688795,-122.2733995,332600,1663,1933,1,RES1,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.273366,37.868921],[-122.273433,37.868921],[-122.273433,37.868838],[-122.273366,37.868838],[-122.273366,37.868921]]]},""properties"":{}}"
15,37.8690419,-122.2766527,200333.3333,1001.666667,1942,2,RES3,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.276596,37.868982],[-122.276602,37.869105],[-122.276709,37.869102],[-122.276704,37.868979],[-122.276596,37.868982]]]},""properties"":{}}"
16,37.869074,-122.2776,540766.6667,2703.833333,1918,1,RES3,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.277707,37.869108],[-122.277694,37.869021],[-122.277493,37.869040],[-122.277506,37.869127],[-122.277707,37.869108]]]},""properties"":{}}"
17,37.8722295,-122.2767885,1327800,9764.5,1950,3,COM10,C2,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.276880,37.872366],[-122.276849,37.872083],[-122.276697,37.872093],[-122.276728,37.872376],[-122.276880,37.872366]]]},""properties"":{}}"
18,37.87330534,-122.2772675,176133.3333,880.6666667,1950,2,RES3,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.277306,37.873259],[-122.277148,37.873262],[-122.277151,37.873364],[-122.277375,37.873359],[-122.277371,37.873228],[-122.277305,37.873229],[-122.277306,37.873259]]]},""properties"":{}}"
19,37.8742405,-122.276353,198000,990,1929,2,RES3,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.276290,37.874210],[-122.276290,37.874271],[-122.276416,37.874271],[-122.276416,37.874210],[-122.276290,37.874210]]]},""properties"":{}}"
20,37.87475854,-122.2704132,99060,762,2015,2,COM10,C1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.270463,37.874751],[-122.270464,37.874707],[-122.270379,37.874705],[-122.270374,37.874819],[-122.270436,37.874821],[-122.270439,37.874751],[-122.270463,37.874751]]]},""properties"":{}}"
21,37.86658262,-122.2660773,6583875.3,48271.5,1923,3,COM4,RM2,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.266326,37.866759],[-122.266270,37.866405],[-122.266122,37.866419],[-122.266110,37.866346],[-122.265894,37.866368],[-122.265906,37.866447],[-122.265838,37.866454],[-122.265863,37.866614],[-122.265874,37.866613],[-122.265903,37.866801],[-122.266326,37.866759]]]},""properties"":{}}"
