id,Latitude,Longitude,NumberofStories,YearBuilt,OccupancyClass,StructureType,PlanArea,ReplacementCost
0,37.422,-122.182,9,1957,RES1,S4,3879.760428,1
1,37.422,-122.18575,3,1927,RES1,W2,4449.354054,1
2,37.422,-122.1895,10,2020,RES1,S1,3564.13162,1
3,37.422,-122.19325,6,1951,RES1,C2,5109.169632,1
4,37.422,-122.197,1,1960,RES1,W1,1481.567067,1
5,37.42366667,-122.182,2,1986,RES1,W1,1754.642389,1
6,37.42366667,-122.18575,1,1984,RES1,W1,2437.970509,1
7,37.42366667,-122.1895,2,1983,RES1,PC2,3773.97901,1
8,37.42366667,-122.19325,6,1957,RES1,C2,3805.209688,1
9,37.42366667,-122.197,1,1984,RES1,W1,1625.164708,1
10,37.42533333,-122.182,5,2018,RES1,C2,3997.788612,1
11,37.42533333,-122.18575,1,2018,RES1,PC1,1821.174819,1
12,37.42533333,-122.1895,7,1930,RES1,C1,4298.10896,1
13,37.42533333,-122.19325,7,1922,RES1,C1,3002.063215,1
14,37.42533333,-122.197,4,1947,RES1,S4,3250.194708,1
15,37.427,-122.182,4,1969,RES1,W1,4579.92656,1
16,37.427,-122.18575,9,2006,RES1,S2,6865.082136,1
17,37.427,-122.1895,3,1959,RES1,RM2,3969.177412,1
18,37.427,-122.19325,2,1979,RES1,W1,3918.519078,1
19,37.427,-122.197,4,1976,RES1,RM1,4176.901546,1
